id,game_id,series_id,round_number,player_id,player_name,team_id,agent,agent_role,side,kills,deaths,assists,headshots,alive_at_end,current_health,current_armor,clutch_situation
719f343f-e8d5-44de-98c5-e66f04d0f5ab_4_45,719f343f-e8d5-44de-98c5-e66f04d0f5ab,2629390,4,45,liazzi,99,viper,Controller,attacker,2,1,0,2,false,0,50,false
719f343f-e8d5-44de-98c5-e66f04d0f5ab_4_57,719f343f-e8d5-44de-98c5-e66f04d0f5ab,2629390,4,57,mwzera,99,jett,Duelist,attacker,3,0,0,3,true,100,50,false
719f343f-e8d5-44de-98c5-e66f04d0f5ab_4_19,719f343f-e8d5-44de-98c5-e66f04d0f5ab,2629390,4,19,kon4n,99,sova,Initiator,attacker,0,0,0,0,true,100,50,false
719f343f-e8d5-44de-98c5-e66f04d0f5ab_4_3314,719f343f-e8d5-44de-98c5-e66f04d0f5ab,2629390,4,3314,havoc,99,kay/o,Initiator,attacker,0,1,0,0,false,0,50,false
719f343f-e8d5-44de-98c5-e66f04d0f5ab_4_51,719f343f-e8d5-44de-98c5-e66f04d0f5ab,2629390,4,51,Khalil,99,cypher,Sentinel,attacker,0,1,0,0,false,0,50,false
719f343f-e8d5-44de-98c5-e66f04d0f5ab_4_11334,719f343f-e8d5-44de-98c5-e66f04d0f5ab,2629390,4,11334,Demon1,97,jett,Duelist,defender,1,1,0,1,false,0,23,false
719f343f-e8d5-44de-98c5-e66f04d0f5ab_4_292,719f343f-e8d5-44de-98c5-e66f04d0f5ab,2629390,4,292,Marved,97,viper,Controller,defender,1,1,0,1,false,0,23,false
719f343f-e8d5-44de-98c5-e66f04d0f5ab_4_297,719f343f-e8d5-44de-98c5-e66f04d0f5ab,2629390,4,297,Ethan,97,kay/o,Initiator,defender,0,1,0,0,false,0,50,false
719f343f-e8d5-44de-98c5-e66f04d0f5ab_4_291,719f343f-e8d5-44de-98c5-e66f04d0f5ab,2629390,4,291,crashies,97,sova,Initiator,defender,0,1,0,0,false,0,50,false
719f343f-e8d5-44de-98c5-e66f04d0f5ab_4_290,719f343f-e8d5-44de-98c5-e66f04d0f5ab,2629390,4,290,Victor,97,cypher,Sentinel,defender,1,1,0,1,false,0,50,false
719f343f-e8d5-44de-98c5-e66f04d0f5ab_5_45,719f343f-e8d5-44de-98c5-e66f04d0f5ab,2629390,5,45,liazzi,99,viper,Controller,attacker,0,1,0,0,false,0,0,false
719f343f-e8d5-44de-98c5-e66f04d0f5ab_5_57,719f343f-e8d5-44de-98c5-e66f04d0f5ab,2629390,5,57,mwzera,99,jett,Duelist,attacker,1,1,0,1,false,0,5,false
719f343f-e8d5-44de-98c5-e66f04d0f5ab_5_19,719f343f-e8d5-44de-98c5-e66f04d0f5ab,2629390,5,19,kon4n,99,sova,Initiator,attacker,0,1,0,0,false,0,0,false
719f343f-e8d5-44de-98c5-e66f04d0f5ab_5_3314,719f343f-e8d5-44de-98c5-e66f04d0f5ab,2629390,5,3314,havoc,99,kay/o,Initiator,attacker,0,1,0,0,false,0,50,false
719f343f-e8d5-44de-98c5-e66f04d0f5ab_5_51,719f343f-e8d5-44de-98c5-e66f04d0f5ab,2629390,5,51,Khalil,99,cypher,Sentinel,attacker,0,1,0,0,false,0,0,false
719f343f-e8d5-44de-98c5-e66f04d0f5ab_5_11334,719f343f-e8d5-44de-98c5-e66f04d0f5ab,2629390,5,11334,Demon1,97,jett,Duelist,defender,0,1,0,0,false,0,25,false
719f343f-e8d5-44de-98c5-e66f04d0f5ab_5_292,719f343f-e8d5-44de-98c5-e66f04d0f5ab,2629390,5,292,Marved,97,viper,Controller,defender,2,0,3,0,true,100,25,false
719f343f-e8d5-44de-98c5-e66f04d0f5ab_5_297,719f343f-e8d5-44de-98c5-e66f04d0f5ab,2629390,5,297,Ethan,97,kay/o,Initiator,defender,3,0,1,4,true,27,0,false
719f343f-e8d5-44de-98c5-e66f04d0f5ab_5_291,719f343f-e8d5-44de-98c5-e66f04d0f5ab,2629390,5,291,crashies,97,sova,Initiator,defender,0,0,0,0,true,100,50,false
719f343f-e8d5-44de-98c5-e66f04d0f5ab_5_290,719f343f-e8d5-44de-98c5-e66f04d0f5ab,2629390,5,290,Victor,97,cypher,Sentinel,defender,0,0,0,0,true,88,26,false
719f343f-e8d5-44de-98c5-e66f04d0f5ab_6_45,719f343f-e8d5-44de-98c5-e66f04d0f5ab,2629390,6,45,liazzi,99,viper,Controller,attacker,1,1,2,0,false,0,0,false
719f343f-e8d5-44de-98c5-e66f04d0f5ab_6_57,719f343f-e8d5-44de-98c5-e66f04d0f5ab,2629390,6,57,mwzera,99,jett,Duelist,attacker,0,1,0,0,false,0,50,false
719f343f-e8d5-44de-98c5-e66f04d0f5ab_6_19,719f343f-e8d5-44de-98c5-e66f04d0f5ab,2629390,6,19,kon4n,99,sova,Initiator,attacker,0,1,0,0,false,0,25,false
719f343f-e8d5-44de-98c5-e66f04d0f5ab_6_3314,719f343f-e8d5-44de-98c5-e66f04d0f5ab,2629390,6,3314,havoc,99,kay/o,Initiator,attacker,0,1,0,0,false,0,25,false
719f343f-e8d5-44de-98c5-e66f04d0f5ab_6_51,719f343f-e8d5-44de-98c5-e66f04d0f5ab,2629390,6,51,Khalil,99,cypher,Sentinel,attacker,0,1,0,0,false,0,0,false
719f343f-e8d5-44de-98c5-e66f04d0f5ab_6_11334,719f343f-e8d5-44de-98c5-e66f04d0f5ab,2629390,6,11334,Demon1,97,jett,Duelist,defender,2,1,0,2,false,0,0,false
719f343f-e8d5-44de-98c5-e66f04d0f5ab_6_292,719f343f-e8d5-44de-98c5-e66f04d0f5ab,2629390,6,292,Marved,97,viper,Controller,defender,0,0,0,0,true,100,50,false
719f343f-e8d5-44de-98c5-e66f04d0f5ab_6_297,719f343f-e8d5-44de-98c5-e66f04d0f5ab,2629390,6,297,Ethan,97,kay/o,Initiator,defender,0,0,0,0,true,100,50,false
719f343f-e8d5-44de-98c5-e66f04d0f5ab_6_291,719f343f-e8d5-44de-98c5-e66f04d0f5ab,2629390,6,291,crashies,97,sova,Initiator,defender,0,0,0,0,true,100,50,false
719f343f-e8d5-44de-98c5-e66f04d0f5ab_6_290,719f343f-e8d5-44de-98c5-e66f04d0f5ab,2629390,6,290,Victor,97,cypher,Sentinel,defender,3,0,0,2,true,91,9,false
719f343f-e8d5-44de-98c5-e66f04d0f5ab_7_45,719f343f-e8d5-44de-98c5-e66f04d0f5ab,2629390,7,45,liazzi,99,viper,Controller,attacker,2,1,1,1,false,0,0,false
719f343f-e8d5-44de-98c5-e66f04d0f5ab_7_57,719f343f-e8d5-44de-98c5-e66f04d0f5ab,2629390,7,57,mwzera,99,jett,Duelist,attacker,0,1,0,0,false,0,50,false
719f343f-e8d5-44de-98c5-e66f04d0f5ab_7_19,719f343f-e8d5-44de-98c5-e66f04d0f5ab,2629390,7,19,kon4n,99,sova,Initiator,attacker,0,1,0,0,false,0,0,false
719f343f-e8d5-44de-98c5-e66f04d0f5ab_7_3314,719f343f-e8d5-44de-98c5-e66f04d0f5ab,2629390,7,3314,havoc,99,kay/o,Initiator,attacker,0,1,0,0,false,0,25,false
719f343f-e8d5-44de-98c5-e66f04d0f5ab_7_51,719f343f-e8d5-44de-98c5-e66f04d0f5ab,2629390,7,51,Khalil,99,cypher,Sentinel,attacker,0,1,0,0,false,0,0,false
719f343f-e8d5-44de-98c5-e66f04d0f5ab_7_11334,719f343f-e8d5-44de-98c5-e66f04d0f5ab,2629390,7,11334,Demon1,97,jett,Duelist,defender,0,0,0,0,true,69,0,false
719f343f-e8d5-44de-98c5-e66f04d0f5ab_7_292,719f343f-e8d5-44de-98c5-e66f04d0f5ab,2629390,7,292,Marved,97,viper,Controller,defender,2,0,1,1,true,91,32,false
719f343f-e8d5-44de-98c5-e66f04d0f5ab_7_297,719f343f-e8d5-44de-98c5-e66f04d0f5ab,2629390,7,297,Ethan,97,kay/o,Initiator,defender,1,1,1,1,false,0,23,false
719f343f-e8d5-44de-98c5-e66f04d0f5ab_7_291,719f343f-e8d5-44de-98c5-e66f04d0f5ab,2629390,7,291,crashies,97,sova,Initiator,defender,1,0,0,1,true,100,50,false
719f343f-e8d5-44de-98c5-e66f04d0f5ab_7_290,719f343f-e8d5-44de-98c5-e66f04d0f5ab,2629390,7,290,Victor,97,cypher,Sentinel,defender,1,1,1,1,false,0,0,false
719f343f-e8d5-44de-98c5-e66f04d0f5ab_8_45,719f343f-e8d5-44de-98c5-e66f04d0f5ab,2629390,8,45,liazzi,99,viper,Controller,attacker,0,1,0,0,false,0,0,false
719f343f-e8d5-44de-98c5-e66f04d0f5ab_8_57,719f343f-e8d5-44de-98c5-e66f04d0f5ab,2629390,8,57,mwzera,99,jett,Duelist,attacker,0,1,0,0,false,0,0,false
719f343f-e8d5-44de-98c5-e66f04d0f5ab_8_19,719f343f-e8d5-44de-98c5-e66f04d0f5ab,2629390,8,19,kon4n,99,sova,Initiator,attacker,0,1,0,0,false,0,25,false
719f343f-e8d5-44de-98c5-e66f04d0f5ab_8_3314,719f343f-e8d5-44de-98c5-e66f04d0f5ab,2629390,8,3314,havoc,99,kay/o,Initiator,attacker,0,1,0,0,false,0,25,false
719f343f-e8d5-44de-98c5-e66f04d0f5ab_8_51,719f343f-e8d5-44de-98c5-e66f04d0f5ab,2629390,8,51,Khalil,99,cypher,Sentinel,attacker,0,1,0,0,false,0,0,false
719f343f-e8d5-44de-98c5-e66f04d0f5ab_8_11334,719f343f-e8d5-44de-98c5-e66f04d0f5ab,2629390,8,11334,Demon1,97,jett,Duelist,defender,2,0,3,2,true,69,0,false
719f343f-e8d5-44de-98c5-e66f04d0f5ab_8_292,719f343f-e8d5-44de-98c5-e66f04d0f5ab,2629390,8,292,Marved,97,viper,Controller,defender,2,0,0,2,true,100,50,false
719f343f-e8d5-44de-98c5-e66f04d0f5ab_8_297,719f343f-e8d5-44de-98c5-e66f04d0f5ab,2629390,8,297,Ethan,97,kay/o,Initiator,defender,1,0,0,0,true,100,50,false
719f343f-e8d5-44de-98c5-e66f04d0f5ab_8_291,719f343f-e8d5-44de-98c5-e66f04d0f5ab,2629390,8,291,crashies,97,sova,Initiator,defender,0,0,0,0,true,64,0,false
719f343f-e8d5-44de-98c5-e66f04d0f5ab_8_290,719f343f-e8d5-44de-98c5-e66f04d0f5ab,2629390,8,290,Victor,97,cypher,Sentinel,defender,0,0,0,0,true,100,50,false
719f343f-e8d5-44de-98c5-e66f04d0f5ab_9_45,719f343f-e8d5-44de-98c5-e66f04d0f5ab,2629390,9,45,liazzi,99,viper,Controller,attacker,0,1,0,0,false,0,50,false
719f343f-e8d5-44de-98c5-e66f04d0f5ab_9_57,719f343f-e8d5-44de-98c5-e66f04d0f5ab,2629390,9,57,mwzera,99,jett,Duelist,attacker,1,1,0,0,false,0,0,false
719f343f-e8d5-44de-98c5-e66f04d0f5ab_9_19,719f343f-e8d5-44de-98c5-e66f04d0f5ab,2629390,9,19,kon4n,99,sova,Initiator,attacker,1,1,0,0,false,0,0,false
719f343f-e8d5-44de-98c5-e66f04d0f5ab_9_3314,719f343f-e8d5-44de-98c5-e66f04d0f5ab,2629390,9,3314,havoc,99,kay/o,Initiator,attacker,0,1,0,0,false,0,0,false
719f343f-e8d5-44de-98c5-e66f04d0f5ab_9_51,719f343f-e8d5-44de-98c5-e66f04d0f5ab,2629390,9,51,Khalil,99,cypher,Sentinel,attacker,2,1,0,2,false,0,50,false
719f343f-e8d5-44de-98c5-e66f04d0f5ab_9_11334,719f343f-e8d5-44de-98c5-e66f04d0f5ab,2629390,9,11334,Demon1,97,jett,Duelist,defender,1,1,1,0,false,0,50,false
719f343f-e8d5-44de-98c5-e66f04d0f5ab_9_292,719f343f-e8d5-44de-98c5-e66f04d0f5ab,2629390,9,292,Marved,97,viper,Controller,defender,1,1,0,1,false,0,50,false
719f343f-e8d5-44de-98c5-e66f04d0f5ab_9_297,719f343f-e8d5-44de-98c5-e66f04d0f5ab,2629390,9,297,Ethan,97,kay/o,Initiator,defender,2,0,1,2,true,30,0,false
719f343f-e8d5-44de-98c5-e66f04d0f5ab_9_291,719f343f-e8d5-44de-98c5-e66f04d0f5ab,2629390,9,291,crashies,97,sova,Initiator,defender,1,1,0,1,false,0,50,false
719f343f-e8d5-44de-98c5-e66f04d0f5ab_9_290,719f343f-e8d5-44de-98c5-e66f04d0f5ab,2629390,9,290,Victor,97,cypher,Sentinel,defender,0,1,0,0,false,0,50,false
719f343f-e8d5-44de-98c5-e66f04d0f5ab_10_45,719f343f-e8d5-44de-98c5-e66f04d0f5ab,2629390,10,45,liazzi,99,viper,Controller,attacker,0,1,0,0,false,0,23,false
719f343f-e8d5-44de-98c5-e66f04d0f5ab_10_57,719f343f-e8d5-44de-98c5-e66f04d0f5ab,2629390,10,57,mwzera,99,jett,Duelist,attacker,2,1,1,2,false,0,0,false
719f343f-e8d5-44de-98c5-e66f04d0f5ab_10_19,719f343f-e8d5-44de-98c5-e66f04d0f5ab,2629390,10,19,kon4n,99,sova,Initiator,attacker,0,1,0,0,false,0,25,false
719f343f-e8d5-44de-98c5-e66f04d0f5ab_10_3314,719f343f-e8d5-44de-98c5-e66f04d0f5ab,2629390,10,3314,havoc,99,kay/o,Initiator,attacker,0,1,0,0,false,0,25,false
719f343f-e8d5-44de-98c5-e66f04d0f5ab_10_51,719f343f-e8d5-44de-98c5-e66f04d0f5ab,2629390,10,51,Khalil,99,cypher,Sentinel,attacker,0,1,0,0,false,0,25,false
719f343f-e8d5-44de-98c5-e66f04d0f5ab_10_11334,719f343f-e8d5-44de-98c5-e66f04d0f5ab,2629390,10,11334,Demon1,97,jett,Duelist,defender,2,1,1,0,false,0,13,false
719f343f-e8d5-44de-98c5-e66f04d0f5ab_10_292,719f343f-e8d5-44de-98c5-e66f04d0f5ab,2629390,10,292,Marved,97,viper,Controller,defender,0,1,0,0,false,0,50,false
719f343f-e8d5-44de-98c5-e66f04d0f5ab_10_297,719f343f-e8d5-44de-98c5-e66f04d0f5ab,2629390,10,297,Ethan,97,kay/o,Initiator,defender,2,0,1,2,true,60,0,false
719f343f-e8d5-44de-98c5-e66f04d0f5ab_10_291,719f343f-e8d5-44de-98c5-e66f04d0f5ab,2629390,10,291,crashies,97,sova,Initiator,defender,1,0,0,1,true,100,50,false
