game_id,series_id,map_name,team_id,team_name,composition,duelist_count,controller_count,sentinel_count,initiator_count
a7cf11d8-d64b-41bc-9807-62e91dac343b,2654012,breeze,1611,Leviatán Esports,"viper,jett,kay/o,sova,cypher",1,1,1,2
15aba0eb-0241-4525-8138-098143330bc8,2653974,icebox,48457,KRÜ Esports,"viper,reyna,gekko,kay/o,killjoy",1,1,1,2
4d43b00d-bafd-401e-8a2a-a2b9bd516c06,2653981,bind,79,Cloud9,"brimstone,viper,raze,skye,cypher",1,2,1,1
6eb1d3d5-c083-4d95-b13f-4441c628e0a2,2653981,lotus,3412,LOUD (1),"omen,viper,raze,fade,deadlock",1,2,1,1
f0bf8623-a619-4d40-b7b2-e5a8662e533a,2653983,bind,97,NRG,"brimstone,viper,raze,gekko,kay/o",1,2,0,2
4ec0f1c0-dfbf-4533-8f86-5c7e8673e7ed,2653984,lotus,99,FURIA,"omen,viper,raze,fade,killjoy",1,2,1,1
bd70cd3b-b0f8-466b-8dd4-5fbd72d275dd,2653988,breeze,96,G2 Esports,"harbor,viper,yoru,sova,cypher",1,2,1,1
7f819353-6fd8-45c1-b499-2017618cdce6,2653988,lotus,1611,Leviatán Esports,"omen,viper,raze,fade,killjoy",1,2,1,1
822a19a9-37dd-408d-a409-fe5ab3bfc17a,2775990,haven,96,G2 Esports,"astra,yoru,breach,tejo,vyse",1,1,1,2
e7166237-04f0-432d-ac5b-e561a21b971d,2775991,split,1079,Sentinels,"omen,viper,yoru,breach,tejo",1,2,0,2
095227c4-d2e0-4b7f-8a73-c6d68031765a,2775994,haven,96,G2 Esports,"astra,yoru,breach,tejo,vyse",1,1,1,2
c917c878-5459-40e8-8d25-dda4404624b9,2775979,haven,1079,Sentinels,"omen,neon,breach,sova,cypher",1,1,1,2
38e746ea-9f0c-4287-bd52-921eeb66afda,2789396,pearl,1079,Sentinels,"astra,yoru,fade,tejo,vyse",1,1,1,2
102b780b-de11-4049-a334-8069daaa8aef,2775955,ascent,99,FURIA,"omen,yoru,kay/o,sova,vyse",1,1,1,2
43d9c878-46e0-45ba-aad2-1404129d1823,2775959,pearl,99,FURIA,"astra,neon,kay/o,sova,cypher",1,1,1,2
51156eaa-c25e-4901-95d2-1f5f7e3f0fbc,2775962,pearl,81,MIBR (1),"astra,waylay,kay/o,tejo,vyse",1,1,1,2
fa35f815-092e-4631-bb06-dff91f2217a0,2775964,ascent,1611,Leviatán Esports,"omen,yoru,sova,cypher,deadlock",1,1,2,1
cf3b2d75-5225-4938-b869-5dc907abd896,2775976,haven,81,MIBR (1),"omen,jett,breach,tejo,cypher",1,1,1,2
c4c1903c-13e0-456d-8e5f-6f4a0eff4b19,2775978,split,99,FURIA,"omen,viper,yoru,breach,tejo",1,2,0,2
3be9d0da-bc75-4f37-b4f6-119ef2e56dd3,2681847,bind,1611,Leviatán Esports,"brimstone,viper,raze,fade,gekko",1,2,0,2
c84971ad-e3eb-46cf-bc6e-283af57b44f2,2681847,ascent,96,G2 Esports,"omen,jett,kay/o,sova,killjoy",1,1,1,2
c1c25c9b-82bc-4a5d-bbc2-2befcd034748,2681811,icebox,99,FURIA,"viper,jett,sova,killjoy,sage",1,1,2,1
b3891f68-1023-4467-b245-1a17d77d6bb6,2681812,icebox,281,Evil Geniuses,"clove,harbor,iso,sova,killjoy",1,2,1,1
303dfa6a-8659-4d40-b8ca-bb1f7f7202ec,2681819,lotus,81,MIBR (1),"omen,viper,raze,fade,killjoy",1,2,1,1
