team_id,map_name,side,win_type,count,percentage
79,corrode,defender,opponentEliminated,5,21.7
79,corrode,defender,timeExpired,2,8.7
79,corrode,attacker,opponentEliminated,5,21.7
96,breeze,attacker,bombExploded,3,7.7
96,breeze,defender,bombDefused,10,25.6
96,breeze,defender,opponentEliminated,8,20.5
96,breeze,attacker,opponentEliminated,18,46.2
1611,bind,attacker,opponentEliminated,31,34.4
1611,bind,defender,timeExpired,1,1.1
1611,bind,attacker,bombExploded,10,11.1
1611,bind,defender,bombDefused,22,24.4
1611,bind,defender,opponentEliminated,26,28.9
1611,corrode,defender,timeExpired,1,10.0
1611,corrode,attacker,bombExploded,1,10.0
1611,corrode,defender,opponentEliminated,3,30.0
1611,corrode,defender,bombDefused,4,40.0
1611,corrode,attacker,opponentEliminated,1,10.0
281,lotus,defender,opponentEliminated,22,20.6
281,lotus,attacker,bombExploded,16,15.0
281,lotus,defender,timeExpired,4,3.7
281,lotus,attacker,opponentEliminated,41,38.3
281,lotus,defender,bombDefused,24,22.4
281,pearl,attacker,bombExploded,7,17.1
281,pearl,defender,bombDefused,5,12.2
281,pearl,attacker,opponentEliminated,16,39.0
281,pearl,defender,timeExpired,1,2.4
281,pearl,defender,opponentEliminated,12,29.3
3412,split,defender,timeExpired,3,4.9
3412,split,defender,bombDefused,15,24.6
3412,split,defender,opponentEliminated,16,26.2
3412,split,attacker,opponentEliminated,21,34.4
3412,split,attacker,bombExploded,6,9.8
81,split,defender,bombDefused,22,18.2
81,split,defender,timeExpired,6,5.0
81,split,attacker,opponentEliminated,51,42.1
81,split,attacker,bombExploded,12,9.9
81,split,defender,opponentEliminated,30,24.8
96,ascent,defender,opponentEliminated,38,22.6
96,ascent,defender,timeExpired,8,4.8
96,ascent,defender,bombDefused,35,20.8
96,ascent,attacker,opponentEliminated,65,38.7
96,ascent,attacker,bombExploded,22,13.1
97,fracture,attacker,bombExploded,10,20.0
97,fracture,defender,opponentEliminated,7,14.0
97,fracture,defender,timeExpired,2,4.0
97,fracture,defender,bombDefused,7,14.0
97,fracture,attacker,opponentEliminated,24,48.0
99,haven,defender,timeExpired,7,13.2
99,haven,attacker,opponentEliminated,23,43.4
99,haven,defender,opponentEliminated,5,9.4
99,haven,attacker,bombExploded,7,13.2
99,haven,defender,bombDefused,11,20.8
337,lotus,defender,bombDefused,6,12.0
337,lotus,attacker,bombExploded,9,18.0
337,lotus,attacker,opponentEliminated,23,46.0
337,lotus,defender,opponentEliminated,12,24.0
337,pearl,attacker,bombExploded,4,17.4
337,pearl,defender,bombDefused,6,26.1
337,pearl,defender,opponentEliminated,3,13.0
337,pearl,attacker,opponentEliminated,10,43.5
3412,icebox,defender,opponentEliminated,20,27.8
3412,icebox,attacker,opponentEliminated,27,37.5
3412,icebox,defender,timeExpired,3,4.2
3412,icebox,defender,bombDefused,20,27.8
3412,icebox,attacker,bombExploded,2,2.8
48457,haven,attacker,bombExploded,9,9.5
48457,haven,defender,timeExpired,2,2.1
48457,haven,defender,opponentEliminated,33,34.7
48457,haven,defender,bombDefused,25,26.3
48457,haven,attacker,opponentEliminated,26,27.4
79,lotus,attacker,opponentEliminated,51,38.9
79,lotus,defender,bombDefused,33,25.2
79,lotus,defender,timeExpired,2,1.5
79,lotus,attacker,bombExploded,19,14.5
79,lotus,defender,opponentEliminated,26,19.8
79,pearl,defender,timeExpired,4,6.8
79,pearl,defender,bombDefused,16,27.1
79,pearl,attacker,opponentEliminated,23,39.0
79,pearl,defender,opponentEliminated,13,22.0
79,pearl,attacker,bombExploded,3,5.1
81,icebox,defender,bombDefused,45,38.8
81,icebox,attacker,bombExploded,13,11.2
81,icebox,attacker,opponentEliminated,40,34.5
81,icebox,defender,opponentEliminated,16,13.8
81,icebox,defender,timeExpired,2,1.7
96,fracture,attacker,opponentEliminated,9,37.5
96,fracture,defender,bombDefused,4,16.7
96,fracture,defender,opponentEliminated,8,33.3
96,fracture,attacker,bombExploded,3,12.5
97,ascent,attacker,bombExploded,9,19.6
97,ascent,defender,opponentEliminated,13,28.3
97,ascent,attacker,opponentEliminated,16,34.8
