series_id,tournament_id,tournament_name,stage,start_time_scheduled,started_at,updated_at,finished,best_of,team1_id,team1_name,team2_id,team2_name,winner_team_id,loser_team_id,team1_score,team2_score,has_depth4_data,depth_level
2748753,775518,VCT Americas - Kickoff 2025 (Knockouts: Knockouts),Knockouts: Knockouts,2025-01-24 03:00:00,,,true,2,99,FURIA,281,Evil Geniuses,281,99,0,2,false,2
2748754,775518,VCT Americas - Kickoff 2025 (Knockouts: Knockouts),Knockouts: Knockouts,2025-01-24 06:00:00,,,true,3,79,Cloud9,81,MIBR (1),81,79,1,2,false,2
2748755,775518,VCT Americas - Kickoff 2025 (Knockouts: Knockouts),Knockouts: Knockouts,2025-01-25 06:00:00,,,true,3,337,100 Thieves,97,NRG,97,337,1,2,false,2
2748756,775518,VCT Americas - Kickoff 2025 (Knockouts: Knockouts),Knockouts: Knockouts,2025-01-25 03:00:00,,,true,2,48457,KRÜ Esports,53367,2GAME eSports,48457,53367,2,0,false,2
2748757,775518,VCT Americas - Kickoff 2025 (Knockouts: Knockouts),Knockouts: Knockouts,2025-02-01 03:00:00,,,true,3,1079,Sentinels,3412,LOUD (1),1079,3412,2,1,false,2
2748758,775518,VCT Americas - Kickoff 2025 (Knockouts: Knockouts),Knockouts: Knockouts,2025-02-01 06:00:00,,,true,2,1611,Leviatán Esports,96,G2 Esports,96,1611,0,2,false,2
2748759,775518,VCT Americas - Kickoff 2025 (Knockouts: Knockouts),Knockouts: Knockouts,2025-02-02 03:00:00,,,true,2,81,MIBR (1),281,Evil Geniuses,81,281,2,0,false,2
2748760,775518,VCT Americas - Kickoff 2025 (Knockouts: Knockouts),Knockouts: Knockouts,2025-02-02 06:00:00,,,true,3,48457,KRÜ Esports,97,NRG,48457,97,2,1,false,2
2748761,775518,VCT Americas - Kickoff 2025 (Knockouts: Knockouts),Knockouts: Knockouts,2025-02-03 03:00:00,,,true,3,81,MIBR (1),1611,Leviatán Esports,81,1611,2,1,false,2
2748762,775518,VCT Americas - Kickoff 2025 (Knockouts: Knockouts),Knockouts: Knockouts,2025-02-03 06:00:00,,,true,2,48457,KRÜ Esports,3412,LOUD (1),48457,3412,2,0,false,2
2748763,775518,VCT Americas - Kickoff 2025 (Knockouts: Knockouts),Knockouts: Knockouts,2025-02-07 03:00:00,2025-02-07 02:53:02.111,2025-02-07 04:52:42.794,true,2,96,G2 Esports,1079,Sentinels,96,1079,2,0,true,4
2748764,775518,VCT Americas - Kickoff 2025 (Knockouts: Knockouts),Knockouts: Knockouts,2025-02-07 06:00:00,2025-02-07 05:21:31.485,2025-02-07 08:25:41.443,true,3,48457,KRÜ Esports,81,MIBR (1),81,48457,1,2,true,4
2748765,775518,VCT Americas - Kickoff 2025 (Knockouts: Knockouts),Knockouts: Knockouts,2025-02-08 03:00:00,2025-02-08 02:53:48.885,2025-02-08 07:25:40.832,true,4,81,MIBR (1),1079,Sentinels,1079,81,1,3,true,4
2748766,775518,VCT Americas - Kickoff 2025 (Knockouts: Knockouts),Knockouts: Knockouts,2025-02-09 03:00:00,2025-02-09 02:52:57.415,2025-02-09 07:24:38.129,true,5,1079,Sentinels,96,G2 Esports,96,1079,2,3,true,4
2654000,757321,VCT Americas - Stage 1 2024 (Playoffs: Playoffs),Playoffs: Playoffs,2024-05-09 02:00:00,2024-05-09 01:49:52.759,2024-05-09 04:01:43.798,true,2,79,Cloud9,96,G2 Esports,96,79,0,2,true,4
2654001,757321,VCT Americas - Stage 1 2024 (Playoffs: Playoffs),Playoffs: Playoffs,2024-05-09 05:00:00,2024-05-09 04:18:17.906,2024-05-09 05:55:53.914,true,2,337,100 Thieves,3412,LOUD (1),337,3412,2,0,true,4
2654002,757321,VCT Americas - Stage 1 2024 (Playoffs: Playoffs),Playoffs: Playoffs,2024-05-10 02:00:00,2024-05-10 01:50:35.479,2024-05-10 03:37:24.7,true,2,96,G2 Esports,48457,KRÜ Esports,96,48457,2,0,true,4
2654003,757321,VCT Americas - Stage 1 2024 (Playoffs: Playoffs),Playoffs: Playoffs,2024-05-10 05:00:00,2024-05-10 03:56:48.048,2024-05-10 06:48:54.682,true,3,337,100 Thieves,1611,Leviatán Esports,337,1611,2,1,true,4
2654004,757321,VCT Americas - Stage 1 2024 (Playoffs: Playoffs),Playoffs: Playoffs,2024-05-11 02:00:00,2024-05-11 01:49:52.394,2024-05-11 04:36:14.117,true,3,337,100 Thieves,96,G2 Esports,337,96,2,1,true,4
2654005,757321,VCT Americas - Stage 1 2024 (Playoffs: Playoffs),Playoffs: Playoffs,2024-05-11 05:00:00,2024-05-11 05:00:19.092,2024-05-11 07:55:41.747,true,3,1611,Leviatán Esports,48457,KRÜ Esports,1611,48457,2,1,true,4
2654012,757321,VCT Americas - Stage 1 2024 (Playoffs: Playoffs),Playoffs: Playoffs,2024-05-12 02:00:00,2024-05-12 01:50:35.977,2024-05-12 07:51:00.066,true,5,1611,Leviatán Esports,96,G2 Esports,96,1611,2,3,true,4
2654052,757321,VCT Americas - Stage 1 2024 (Playoffs: Playoffs),Playoffs: Playoffs,2024-05-13 02:00:00,2024-05-13 01:49:39.286,2024-05-13 04:44:28.234,true,3,96,G2 Esports,337,100 Thieves,337,96,0,3,true,4
2653969,758114,VCT Americas - Stage 1 2024 (Regular Season: Alpha Group),Regular Season: Alpha Group,2024-04-07 02:00:00,2024-04-07 01:50:09.404,2024-04-07 05:34:51.196,true,3,79,Cloud9,1611,Leviatán Esports,79,1611,2,1,true,4
2653970,758114,VCT Americas - Stage 1 2024 (Regular Season: Alpha Group),Regular Season: Alpha Group,2024-04-07 05:00:00,2024-04-07 05:56:50.287,2024-04-07 07:42:16.047,true,2,97,NRG,3412,LOUD (1),97,3412,2,0,true,4
2653972,758114,VCT Americas - Stage 1 2024 (Regular Season: Alpha Group),Regular Season: Alpha Group,2024-04-08 02:00:00,2024-04-08 01:50:23.848,2024-04-08 03:43:35.873,true,2,96,G2 Esports,281,Evil Geniuses,96,281,2,0,true,4
2653973,758114,VCT Americas - Stage 1 2024 (Regular Season: Alpha Group),Regular Season: Alpha Group,2024-04-08 05:00:00,2024-04-08 04:02:57.53,2024-04-08 05:54:16.056,true,2,1079,Sentinels,337,100 Thieves,1079,337,2,0,true,4
2653974,758114,VCT Americas - Stage 1 2024 (Regular Season: Alpha Group),Regular Season: Alpha Group,2024-04-09 02:00:00,2024-04-09 01:50:29.32,2024-04-09 04:59:49.203,true,3,48457,KRÜ Esports,99,FURIA,48457,99,2,1,true,4
2653975,758114,VCT Americas - Stage 1 2024 (Regular Season: Alpha Group),Regular Season: Alpha Group,2024-04-14 02:00:00,2024-04-14 01:50:31.296,2024-04-14 03:59:48.375,true,2,96,G2 Esports,337,100 Thieves,337,96,0,2,true,4
2653976,758114,VCT Americas - Stage 1 2024 (Regular Season: Alpha Group),Regular Season: Alpha Group,2024-04-14 05:00:00,2024-04-14 04:26:39.486,2024-04-14 07:08:45.335,true,2,1079,Sentinels,1611,Leviatán Esports,1611,1079,0,2,true,4
2653977,758114,VCT Americas - Stage 1 2024 (Regular Season: Alpha Group),Regular Season: Alpha Group,2024-04-15 02:00:00,2024-04-15 01:52:35.465,2024-04-15 03:52:11.071,true,2,48457,KRÜ Esports,81,MIBR (1),48457,81,2,0,true,4
2653978,758114,VCT Americas - Stage 1 2024 (Regular Season: Alpha Group),Regular Season: Alpha Group,2024-04-15 05:00:00,2024-04-15 04:13:50.089,2024-04-15 05:52:24.329,true,2,97,NRG,99,FURIA,97,99,2,0,true,4
2653979,758114,VCT Americas - Stage 1 2024 (Regular Season: Alpha Group),Regular Season: Alpha Group,2024-04-16 02:00:00,2024-04-16 01:50:11.399,2024-04-16 04:44:33.91,true,3,79,Cloud9,281,Evil Geniuses,79,281,2,1,true,4
