id,game_id,series_id,player_id,player_name,team_id,agent,final_money,final_loadout_value,final_net_worth,total_kills,total_deaths,total_assists,total_headshots
e267ddd1-e28f-48e3-8e83-3fb42a27cc63_11969,e267ddd1-e28f-48e3-8e83-3fb42a27cc63,2629391,11969,Jakee,79,astra,700,0,700,9,15,1,6
e267ddd1-e28f-48e3-8e83-3fb42a27cc63_10636,e267ddd1-e28f-48e3-8e83-3fb42a27cc63,2629391,10636,OXY,79,raze,2400,1000,3400,20,18,9,18
e267ddd1-e28f-48e3-8e83-3fb42a27cc63_91,e267ddd1-e28f-48e3-8e83-3fb42a27cc63,2629391,91,vanity,79,viper,550,200,750,15,16,3,8
e267ddd1-e28f-48e3-8e83-3fb42a27cc63_706,e267ddd1-e28f-48e3-8e83-3fb42a27cc63,2629391,706,wippie,79,killjoy,350,0,350,10,13,6,11
e267ddd1-e28f-48e3-8e83-3fb42a27cc63_1193,e267ddd1-e28f-48e3-8e83-3fb42a27cc63,2629391,1193,xeppaa,79,skye,300,150,450,14,15,5,15
4a219f17-c477-448a-ad7b-4f77ab033c9c_1814,4a219f17-c477-448a-ad7b-4f77ab033c9c,2629391,1814,rglmeister,81,omen,450,0,450,14,13,8,14
4a219f17-c477-448a-ad7b-4f77ab033c9c_59,4a219f17-c477-448a-ad7b-4f77ab033c9c,2629391,59,frz,81,killjoy,400,200,600,13,17,10,6
4a219f17-c477-448a-ad7b-4f77ab033c9c_266,4a219f17-c477-448a-ad7b-4f77ab033c9c,2629391,266,mazin,81,viper,650,400,1050,16,16,3,9
4a219f17-c477-448a-ad7b-4f77ab033c9c_2641,4a219f17-c477-448a-ad7b-4f77ab033c9c,2629391,2641,jzz,81,skye,350,150,500,18,17,8,15
4a219f17-c477-448a-ad7b-4f77ab033c9c_2837,4a219f17-c477-448a-ad7b-4f77ab033c9c,2629391,2837,artziN,81,raze,350,200,550,17,16,9,14
4a219f17-c477-448a-ad7b-4f77ab033c9c_11969,4a219f17-c477-448a-ad7b-4f77ab033c9c,2629391,11969,Jakee,79,omen,3800,4100,7900,8,15,3,6
4a219f17-c477-448a-ad7b-4f77ab033c9c_10636,4a219f17-c477-448a-ad7b-4f77ab033c9c,2629391,10636,OXY,79,raze,2100,600,2700,24,20,13,21
4a219f17-c477-448a-ad7b-4f77ab033c9c_91,4a219f17-c477-448a-ad7b-4f77ab033c9c,2629391,91,vanity,79,gekko,1850,3600,5450,18,12,8,14
4a219f17-c477-448a-ad7b-4f77ab033c9c_706,4a219f17-c477-448a-ad7b-4f77ab033c9c,2629391,706,wippie,79,killjoy,4950,0,4950,11,13,5,10
4a219f17-c477-448a-ad7b-4f77ab033c9c_1193,4a219f17-c477-448a-ad7b-4f77ab033c9c,2629391,1193,xeppaa,79,fade,2300,0,2300,18,18,10,11
2cd86d08-a06b-4c0f-b749-a0f2964a68ce_1814,2cd86d08-a06b-4c0f-b749-a0f2964a68ce,2629395,1814,rglmeister,81,astra,2050,0,2050,11,13,4,12
2cd86d08-a06b-4c0f-b749-a0f2964a68ce_59,2cd86d08-a06b-4c0f-b749-a0f2964a68ce,2629395,59,frz,81,viper,2400,2900,5300,22,11,12,14
2cd86d08-a06b-4c0f-b749-a0f2964a68ce_266,2cd86d08-a06b-4c0f-b749-a0f2964a68ce,2629395,266,mazin,81,skye,450,150,600,10,11,0,10
2cd86d08-a06b-4c0f-b749-a0f2964a68ce_2641,2cd86d08-a06b-4c0f-b749-a0f2964a68ce,2629395,2641,jzz,81,raze,1850,0,1850,18,17,7,13
2cd86d08-a06b-4c0f-b749-a0f2964a68ce_2837,2cd86d08-a06b-4c0f-b749-a0f2964a68ce,2629395,2837,artziN,81,jett,1550,350,1900,15,16,6,10
2cd86d08-a06b-4c0f-b749-a0f2964a68ce_45,2cd86d08-a06b-4c0f-b749-a0f2964a68ce,2629395,45,liazzi,99,astra,1650,150,1800,6,13,2,9
2cd86d08-a06b-4c0f-b749-a0f2964a68ce_57,2cd86d08-a06b-4c0f-b749-a0f2964a68ce,2629395,57,mwzera,99,jett,0,400,400,24,17,6,15
2cd86d08-a06b-4c0f-b749-a0f2964a68ce_19,2cd86d08-a06b-4c0f-b749-a0f2964a68ce,2629395,19,kon4n,99,skye,1900,3050,4950,11,16,6,7
2cd86d08-a06b-4c0f-b749-a0f2964a68ce_3314,2cd86d08-a06b-4c0f-b749-a0f2964a68ce,2629395,3314,havoc,99,raze,2200,700,2900,16,15,8,11
2cd86d08-a06b-4c0f-b749-a0f2964a68ce_51,2cd86d08-a06b-4c0f-b749-a0f2964a68ce,2629395,51,Khalil,99,viper,1300,300,1600,11,15,6,6
c771aaf8-c65c-4468-9bf5-7f6530c768f3_1814,c771aaf8-c65c-4468-9bf5-7f6530c768f3,2629395,1814,rglmeister,81,viper,200,2550,2750,17,13,6,14
c771aaf8-c65c-4468-9bf5-7f6530c768f3_59,c771aaf8-c65c-4468-9bf5-7f6530c768f3,2629395,59,frz,81,cypher,1150,2750,3900,15,17,3,16
c771aaf8-c65c-4468-9bf5-7f6530c768f3_266,c771aaf8-c65c-4468-9bf5-7f6530c768f3,2629395,266,mazin,81,kay/o,150,3500,3650,9,17,1,10
c771aaf8-c65c-4468-9bf5-7f6530c768f3_2641,c771aaf8-c65c-4468-9bf5-7f6530c768f3,2629395,2641,jzz,81,sova,100,2600,2700,18,15,9,14
c771aaf8-c65c-4468-9bf5-7f6530c768f3_2837,c771aaf8-c65c-4468-9bf5-7f6530c768f3,2629395,2837,artziN,81,jett,0,850,850,22,17,8,9
c771aaf8-c65c-4468-9bf5-7f6530c768f3_45,c771aaf8-c65c-4468-9bf5-7f6530c768f3,2629395,45,liazzi,99,viper,1900,500,2400,17,16,7,15
c771aaf8-c65c-4468-9bf5-7f6530c768f3_57,c771aaf8-c65c-4468-9bf5-7f6530c768f3,2629395,57,mwzera,99,jett,50,300,350,14,15,2,10
c771aaf8-c65c-4468-9bf5-7f6530c768f3_19,c771aaf8-c65c-4468-9bf5-7f6530c768f3,2629395,19,kon4n,99,sova,1800,0,1800,14,15,7,9
c771aaf8-c65c-4468-9bf5-7f6530c768f3_3314,c771aaf8-c65c-4468-9bf5-7f6530c768f3,2629395,3314,havoc,99,kay/o,300,700,1000,20,17,9,18
c771aaf8-c65c-4468-9bf5-7f6530c768f3_51,c771aaf8-c65c-4468-9bf5-7f6530c768f3,2629395,51,Khalil,99,cypher,0,300,300,14,18,5,11
da54a836-dd47-47d1-a79e-6daa504bdb56_11969,da54a836-dd47-47d1-a79e-6daa504bdb56,2629398,11969,jakee,79,omen,200,2350,2550,11,17,4,11
da54a836-dd47-47d1-a79e-6daa504bdb56_10636,da54a836-dd47-47d1-a79e-6daa504bdb56,2629398,10636,OXY,79,yoru,50,0,50,11,17,1,12
da54a836-dd47-47d1-a79e-6daa504bdb56_91,da54a836-dd47-47d1-a79e-6daa504bdb56,2629398,91,vanity,79,skye,0,150,150,11,17,2,12
da54a836-dd47-47d1-a79e-6daa504bdb56_706,da54a836-dd47-47d1-a79e-6daa504bdb56,2629398,706,wippie,79,viper,0,0,0,13,13,8,7
da54a836-dd47-47d1-a79e-6daa504bdb56_1193,da54a836-dd47-47d1-a79e-6daa504bdb56,2629398,1193,xeppaa,79,raze,150,400,550,14,17,8,13
da54a836-dd47-47d1-a79e-6daa504bdb56_11334,da54a836-dd47-47d1-a79e-6daa504bdb56,2629398,11334,Demon1,97,jett,3700,0,3700,24,11,7,13
da54a836-dd47-47d1-a79e-6daa504bdb56_292,da54a836-dd47-47d1-a79e-6daa504bdb56,2629398,292,Marved,97,omen,350,3250,3600,16,15,6,12
da54a836-dd47-47d1-a79e-6daa504bdb56_297,da54a836-dd47-47d1-a79e-6daa504bdb56,2629398,297,Ethan,97,skye,4250,4050,8300,15,14,7,10
da54a836-dd47-47d1-a79e-6daa504bdb56_291,da54a836-dd47-47d1-a79e-6daa504bdb56,2629398,291,crashies,97,viper,5200,4200,9400,9,10,4,9
da54a836-dd47-47d1-a79e-6daa504bdb56_290,da54a836-dd47-47d1-a79e-6daa504bdb56,2629398,290,Victor,97,cypher,6400,4000,10400,17,10,7,10
23db92c5-dde1-4110-8ca8-2fb0887baea0_11969,23db92c5-dde1-4110-8ca8-2fb0887baea0,2629398,11969,jakee,79,omen,500,250,750,14,18,6,11
23db92c5-dde1-4110-8ca8-2fb0887baea0_10636,23db92c5-dde1-4110-8ca8-2fb0887baea0,2629398,10636,OXY,79,jett,250,650,900,23,23,11,17
23db92c5-dde1-4110-8ca8-2fb0887baea0_91,23db92c5-dde1-4110-8ca8-2fb0887baea0,2629398,91,vanity,79,sova,100,600,700,23,16,10,20
23db92c5-dde1-4110-8ca8-2fb0887baea0_706,23db92c5-dde1-4110-8ca8-2fb0887baea0,2629398,706,wippie,79,killjoy,200,300,500,16,17,8,14
23db92c5-dde1-4110-8ca8-2fb0887baea0_1193,23db92c5-dde1-4110-8ca8-2fb0887baea0,2629398,1193,xeppaa,79,kay/o,400,0,400,17,18,11,12
23db92c5-dde1-4110-8ca8-2fb0887baea0_11334,23db92c5-dde1-4110-8ca8-2fb0887baea0,2629398,11334,Demon1,97,jett,100,0,100,19,20,15,11
23db92c5-dde1-4110-8ca8-2fb0887baea0_292,23db92c5-dde1-4110-8ca8-2fb0887baea0,2629398,292,Marved,97,omen,200,1050,1250,20,20,6,15
23db92c5-dde1-4110-8ca8-2fb0887baea0_297,23db92c5-dde1-4110-8ca8-2fb0887baea0,2629398,297,Ethan,97,kay/o,100,3600,3700,14,22,9,6
23db92c5-dde1-4110-8ca8-2fb0887baea0_291,23db92c5-dde1-4110-8ca8-2fb0887baea0,2629398,291,crashies,97,sova,100,4350,4450,17,13,8,10
23db92c5-dde1-4110-8ca8-2fb0887baea0_290,23db92c5-dde1-4110-8ca8-2fb0887baea0,2629398,290,Victor,97,killjoy,200,300,500,22,18,8,20
df33ba86-e9fe-423e-8e44-206002633674_1814,df33ba86-e9fe-423e-8e44-206002633674,2629401,1814,rglmeister,81,brimstone,150,400,550,18,17,3,19
df33ba86-e9fe-423e-8e44-206002633674_59,df33ba86-e9fe-423e-8e44-206002633674,2629401,59,frz,81,viper,200,4400,4600,19,17,5,14
df33ba86-e9fe-423e-8e44-206002633674_266,df33ba86-e9fe-423e-8e44-206002633674,2629401,266,mazin,81,kay/o,100,750,850,19,20,7,17
df33ba86-e9fe-423e-8e44-206002633674_2641,df33ba86-e9fe-423e-8e44-206002633674,2629401,2641,jzz,81,skye,400,400,800,14,17,3,15
df33ba86-e9fe-423e-8e44-206002633674_2837,df33ba86-e9fe-423e-8e44-206002633674,2629401,2837,artziN,81,raze,100,200,300,11,18,9,4
df33ba86-e9fe-423e-8e44-206002633674_11969,df33ba86-e9fe-423e-8e44-206002633674,2629401,11969,jakee,79,brimstone,750,350,1100,16,17,5,15
