id,game_id,series_id,map_name,team_id,team_name,agent,agent_role,player_id,player_name
e267ddd1-e28f-48e3-8e83-3fb42a27cc63_79_astra,e267ddd1-e28f-48e3-8e83-3fb42a27cc63,2629391,split,79,Cloud9,astra,Controller,11969,Jakee
e267ddd1-e28f-48e3-8e83-3fb42a27cc63_79_raze,e267ddd1-e28f-48e3-8e83-3fb42a27cc63,2629391,split,79,Cloud9,raze,Duelist,10636,OXY
e267ddd1-e28f-48e3-8e83-3fb42a27cc63_79_viper,e267ddd1-e28f-48e3-8e83-3fb42a27cc63,2629391,split,79,Cloud9,viper,Controller,91,vanity
e267ddd1-e28f-48e3-8e83-3fb42a27cc63_79_killjoy,e267ddd1-e28f-48e3-8e83-3fb42a27cc63,2629391,split,79,Cloud9,killjoy,Sentinel,706,wippie
e267ddd1-e28f-48e3-8e83-3fb42a27cc63_79_skye,e267ddd1-e28f-48e3-8e83-3fb42a27cc63,2629391,split,79,Cloud9,skye,Initiator,1193,xeppaa
4a219f17-c477-448a-ad7b-4f77ab033c9c_81_omen,4a219f17-c477-448a-ad7b-4f77ab033c9c,2629391,lotus,81,MIBR,omen,Controller,1814,rglmeister
4a219f17-c477-448a-ad7b-4f77ab033c9c_81_killjoy,4a219f17-c477-448a-ad7b-4f77ab033c9c,2629391,lotus,81,MIBR,killjoy,Sentinel,59,frz
4a219f17-c477-448a-ad7b-4f77ab033c9c_81_viper,4a219f17-c477-448a-ad7b-4f77ab033c9c,2629391,lotus,81,MIBR,viper,Controller,266,mazin
4a219f17-c477-448a-ad7b-4f77ab033c9c_81_skye,4a219f17-c477-448a-ad7b-4f77ab033c9c,2629391,lotus,81,MIBR,skye,Initiator,2641,jzz
4a219f17-c477-448a-ad7b-4f77ab033c9c_81_raze,4a219f17-c477-448a-ad7b-4f77ab033c9c,2629391,lotus,81,MIBR,raze,Duelist,2837,artziN
4a219f17-c477-448a-ad7b-4f77ab033c9c_79_omen,4a219f17-c477-448a-ad7b-4f77ab033c9c,2629391,lotus,79,Cloud9,omen,Controller,11969,Jakee
4a219f17-c477-448a-ad7b-4f77ab033c9c_79_raze,4a219f17-c477-448a-ad7b-4f77ab033c9c,2629391,lotus,79,Cloud9,raze,Duelist,10636,OXY
4a219f17-c477-448a-ad7b-4f77ab033c9c_79_gekko,4a219f17-c477-448a-ad7b-4f77ab033c9c,2629391,lotus,79,Cloud9,gekko,Initiator,91,vanity
4a219f17-c477-448a-ad7b-4f77ab033c9c_79_killjoy,4a219f17-c477-448a-ad7b-4f77ab033c9c,2629391,lotus,79,Cloud9,killjoy,Sentinel,706,wippie
4a219f17-c477-448a-ad7b-4f77ab033c9c_79_fade,4a219f17-c477-448a-ad7b-4f77ab033c9c,2629391,lotus,79,Cloud9,fade,Initiator,1193,xeppaa
2cd86d08-a06b-4c0f-b749-a0f2964a68ce_81_astra,2cd86d08-a06b-4c0f-b749-a0f2964a68ce,2629395,split,81,MIBR,astra,Controller,1814,rglmeister
2cd86d08-a06b-4c0f-b749-a0f2964a68ce_81_viper,2cd86d08-a06b-4c0f-b749-a0f2964a68ce,2629395,split,81,MIBR,viper,Controller,59,frz
2cd86d08-a06b-4c0f-b749-a0f2964a68ce_81_skye,2cd86d08-a06b-4c0f-b749-a0f2964a68ce,2629395,split,81,MIBR,skye,Initiator,266,mazin
2cd86d08-a06b-4c0f-b749-a0f2964a68ce_81_raze,2cd86d08-a06b-4c0f-b749-a0f2964a68ce,2629395,split,81,MIBR,raze,Duelist,2641,jzz
2cd86d08-a06b-4c0f-b749-a0f2964a68ce_81_jett,2cd86d08-a06b-4c0f-b749-a0f2964a68ce,2629395,split,81,MIBR,jett,Duelist,2837,artziN
2cd86d08-a06b-4c0f-b749-a0f2964a68ce_99_astra,2cd86d08-a06b-4c0f-b749-a0f2964a68ce,2629395,split,99,FURIA,astra,Controller,45,liazzi
2cd86d08-a06b-4c0f-b749-a0f2964a68ce_99_jett,2cd86d08-a06b-4c0f-b749-a0f2964a68ce,2629395,split,99,FURIA,jett,Duelist,57,mwzera
2cd86d08-a06b-4c0f-b749-a0f2964a68ce_99_skye,2cd86d08-a06b-4c0f-b749-a0f2964a68ce,2629395,split,99,FURIA,skye,Initiator,19,kon4n
2cd86d08-a06b-4c0f-b749-a0f2964a68ce_99_raze,2cd86d08-a06b-4c0f-b749-a0f2964a68ce,2629395,split,99,FURIA,raze,Duelist,3314,havoc
2cd86d08-a06b-4c0f-b749-a0f2964a68ce_99_viper,2cd86d08-a06b-4c0f-b749-a0f2964a68ce,2629395,split,99,FURIA,viper,Controller,51,Khalil
c771aaf8-c65c-4468-9bf5-7f6530c768f3_81_viper,c771aaf8-c65c-4468-9bf5-7f6530c768f3,2629395,breeze,81,MIBR,viper,Controller,1814,rglmeister
c771aaf8-c65c-4468-9bf5-7f6530c768f3_81_cypher,c771aaf8-c65c-4468-9bf5-7f6530c768f3,2629395,breeze,81,MIBR,cypher,Sentinel,59,frz
c771aaf8-c65c-4468-9bf5-7f6530c768f3_81_kay/o,c771aaf8-c65c-4468-9bf5-7f6530c768f3,2629395,breeze,81,MIBR,kay/o,Initiator,266,mazin
c771aaf8-c65c-4468-9bf5-7f6530c768f3_81_sova,c771aaf8-c65c-4468-9bf5-7f6530c768f3,2629395,breeze,81,MIBR,sova,Initiator,2641,jzz
c771aaf8-c65c-4468-9bf5-7f6530c768f3_81_jett,c771aaf8-c65c-4468-9bf5-7f6530c768f3,2629395,breeze,81,MIBR,jett,Duelist,2837,artziN
c771aaf8-c65c-4468-9bf5-7f6530c768f3_99_viper,c771aaf8-c65c-4468-9bf5-7f6530c768f3,2629395,breeze,99,FURIA,viper,Controller,45,liazzi
c771aaf8-c65c-4468-9bf5-7f6530c768f3_99_jett,c771aaf8-c65c-4468-9bf5-7f6530c768f3,2629395,breeze,99,FURIA,jett,Duelist,57,mwzera
c771aaf8-c65c-4468-9bf5-7f6530c768f3_99_sova,c771aaf8-c65c-4468-9bf5-7f6530c768f3,2629395,breeze,99,FURIA,sova,Initiator,19,kon4n
c771aaf8-c65c-4468-9bf5-7f6530c768f3_99_kay/o,c771aaf8-c65c-4468-9bf5-7f6530c768f3,2629395,breeze,99,FURIA,kay/o,Initiator,3314,havoc
c771aaf8-c65c-4468-9bf5-7f6530c768f3_99_cypher,c771aaf8-c65c-4468-9bf5-7f6530c768f3,2629395,breeze,99,FURIA,cypher,Sentinel,51,Khalil
da54a836-dd47-47d1-a79e-6daa504bdb56_79_omen,da54a836-dd47-47d1-a79e-6daa504bdb56,2629398,sunset,79,Cloud9,omen,Controller,11969,jakee
da54a836-dd47-47d1-a79e-6daa504bdb56_79_yoru,da54a836-dd47-47d1-a79e-6daa504bdb56,2629398,sunset,79,Cloud9,yoru,Duelist,10636,OXY
da54a836-dd47-47d1-a79e-6daa504bdb56_79_skye,da54a836-dd47-47d1-a79e-6daa504bdb56,2629398,sunset,79,Cloud9,skye,Initiator,91,vanity
da54a836-dd47-47d1-a79e-6daa504bdb56_79_viper,da54a836-dd47-47d1-a79e-6daa504bdb56,2629398,sunset,79,Cloud9,viper,Controller,706,wippie
da54a836-dd47-47d1-a79e-6daa504bdb56_79_raze,da54a836-dd47-47d1-a79e-6daa504bdb56,2629398,sunset,79,Cloud9,raze,Duelist,1193,xeppaa
da54a836-dd47-47d1-a79e-6daa504bdb56_97_jett,da54a836-dd47-47d1-a79e-6daa504bdb56,2629398,sunset,97,NRG,jett,Duelist,11334,Demon1
da54a836-dd47-47d1-a79e-6daa504bdb56_97_omen,da54a836-dd47-47d1-a79e-6daa504bdb56,2629398,sunset,97,NRG,omen,Controller,292,Marved
da54a836-dd47-47d1-a79e-6daa504bdb56_97_skye,da54a836-dd47-47d1-a79e-6daa504bdb56,2629398,sunset,97,NRG,skye,Initiator,297,Ethan
da54a836-dd47-47d1-a79e-6daa504bdb56_97_viper,da54a836-dd47-47d1-a79e-6daa504bdb56,2629398,sunset,97,NRG,viper,Controller,291,crashies
da54a836-dd47-47d1-a79e-6daa504bdb56_97_cypher,da54a836-dd47-47d1-a79e-6daa504bdb56,2629398,sunset,97,NRG,cypher,Sentinel,290,Victor
23db92c5-dde1-4110-8ca8-2fb0887baea0_79_omen,23db92c5-dde1-4110-8ca8-2fb0887baea0,2629398,ascent,79,Cloud9,omen,Controller,11969,jakee
23db92c5-dde1-4110-8ca8-2fb0887baea0_79_jett,23db92c5-dde1-4110-8ca8-2fb0887baea0,2629398,ascent,79,Cloud9,jett,Duelist,10636,OXY
23db92c5-dde1-4110-8ca8-2fb0887baea0_79_sova,23db92c5-dde1-4110-8ca8-2fb0887baea0,2629398,ascent,79,Cloud9,sova,Initiator,91,vanity
23db92c5-dde1-4110-8ca8-2fb0887baea0_79_killjoy,23db92c5-dde1-4110-8ca8-2fb0887baea0,2629398,ascent,79,Cloud9,killjoy,Sentinel,706,wippie
23db92c5-dde1-4110-8ca8-2fb0887baea0_79_kay/o,23db92c5-dde1-4110-8ca8-2fb0887baea0,2629398,ascent,79,Cloud9,kay/o,Initiator,1193,xeppaa
23db92c5-dde1-4110-8ca8-2fb0887baea0_97_jett,23db92c5-dde1-4110-8ca8-2fb0887baea0,2629398,ascent,97,NRG,jett,Duelist,11334,Demon1
23db92c5-dde1-4110-8ca8-2fb0887baea0_97_omen,23db92c5-dde1-4110-8ca8-2fb0887baea0,2629398,ascent,97,NRG,omen,Controller,292,Marved
23db92c5-dde1-4110-8ca8-2fb0887baea0_97_kay/o,23db92c5-dde1-4110-8ca8-2fb0887baea0,2629398,ascent,97,NRG,kay/o,Initiator,297,Ethan
23db92c5-dde1-4110-8ca8-2fb0887baea0_97_sova,23db92c5-dde1-4110-8ca8-2fb0887baea0,2629398,ascent,97,NRG,sova,Initiator,291,crashies
23db92c5-dde1-4110-8ca8-2fb0887baea0_97_killjoy,23db92c5-dde1-4110-8ca8-2fb0887baea0,2629398,ascent,97,NRG,killjoy,Sentinel,290,Victor
df33ba86-e9fe-423e-8e44-206002633674_81_brimstone,df33ba86-e9fe-423e-8e44-206002633674,2629401,bind,81,MIBR,brimstone,Controller,1814,rglmeister
df33ba86-e9fe-423e-8e44-206002633674_81_viper,df33ba86-e9fe-423e-8e44-206002633674,2629401,bind,81,MIBR,viper,Controller,59,frz
df33ba86-e9fe-423e-8e44-206002633674_81_kay/o,df33ba86-e9fe-423e-8e44-206002633674,2629401,bind,81,MIBR,kay/o,Initiator,266,mazin
df33ba86-e9fe-423e-8e44-206002633674_81_skye,df33ba86-e9fe-423e-8e44-206002633674,2629401,bind,81,MIBR,skye,Initiator,2641,jzz
df33ba86-e9fe-423e-8e44-206002633674_81_raze,df33ba86-e9fe-423e-8e44-206002633674,2629401,bind,81,MIBR,raze,Duelist,2837,artziN
df33ba86-e9fe-423e-8e44-206002633674_79_brimstone,df33ba86-e9fe-423e-8e44-206002633674,2629401,bind,79,Cloud9,brimstone,Controller,11969,jakee
df33ba86-e9fe-423e-8e44-206002633674_79_yoru,df33ba86-e9fe-423e-8e44-206002633674,2629401,bind,79,Cloud9,yoru,Duelist,10636,OXY
df33ba86-e9fe-423e-8e44-206002633674_79_skye,df33ba86-e9fe-423e-8e44-206002633674,2629401,bind,79,Cloud9,skye,Initiator,91,vanity
df33ba86-e9fe-423e-8e44-206002633674_79_viper,df33ba86-e9fe-423e-8e44-206002633674,2629401,bind,79,Cloud9,viper,Controller,706,wippie
df33ba86-e9fe-423e-8e44-206002633674_79_raze,df33ba86-e9fe-423e-8e44-206002633674,2629401,bind,79,Cloud9,raze,Duelist,1193,xeppaa
03babb80-c970-443f-a21f-f7a4370a23ad_81_omen,03babb80-c970-443f-a21f-f7a4370a23ad,2629401,ascent,81,MIBR,omen,Controller,1814,rglmeister
03babb80-c970-443f-a21f-f7a4370a23ad_81_cypher,03babb80-c970-443f-a21f-f7a4370a23ad,2629401,ascent,81,MIBR,cypher,Sentinel,59,frz
03babb80-c970-443f-a21f-f7a4370a23ad_81_viper,03babb80-c970-443f-a21f-f7a4370a23ad,2629401,ascent,81,MIBR,viper,Controller,266,mazin
03babb80-c970-443f-a21f-f7a4370a23ad_81_skye,03babb80-c970-443f-a21f-f7a4370a23ad,2629401,ascent,81,MIBR,skye,Initiator,2641,jzz
03babb80-c970-443f-a21f-f7a4370a23ad_81_jett,03babb80-c970-443f-a21f-f7a4370a23ad,2629401,ascent,81,MIBR,jett,Duelist,2837,artziN
03babb80-c970-443f-a21f-f7a4370a23ad_79_omen,03babb80-c970-443f-a21f-f7a4370a23ad,2629401,ascent,79,Cloud9,omen,Controller,11969,jakee
03babb80-c970-443f-a21f-f7a4370a23ad_79_jett,03babb80-c970-443f-a21f-f7a4370a23ad,2629401,ascent,79,Cloud9,jett,Duelist,10636,OXY
03babb80-c970-443f-a21f-f7a4370a23ad_79_sova,03babb80-c970-443f-a21f-f7a4370a23ad,2629401,ascent,79,Cloud9,sova,Initiator,91,vanity
03babb80-c970-443f-a21f-f7a4370a23ad_79_killjoy,03babb80-c970-443f-a21f-f7a4370a23ad,2629401,ascent,79,Cloud9,killjoy,Sentinel,706,wippie
03babb80-c970-443f-a21f-f7a4370a23ad_79_kay/o,03babb80-c970-443f-a21f-f7a4370a23ad,2629401,ascent,79,Cloud9,kay/o,Initiator,1193,xeppaa
dadd1796-2cb3-419b-814b-1260cea71822_1079_omen,dadd1796-2cb3-419b-814b-1260cea71822,2629392,split,1079,Sentinels,omen,Controller,90,TenZ
dadd1796-2cb3-419b-814b-1260cea71822_1079_viper,dadd1796-2cb3-419b-814b-1260cea71822,2629392,split,1079,Sentinels,viper,Controller,94,Zellsis
dadd1796-2cb3-419b-814b-1260cea71822_1079_cypher,dadd1796-2cb3-419b-814b-1260cea71822,2629392,split,1079,Sentinels,cypher,Sentinel,2512,johnqt
dadd1796-2cb3-419b-814b-1260cea71822_1079_raze,dadd1796-2cb3-419b-814b-1260cea71822,2629392,split,1079,Sentinels,raze,Duelist,287,zekken
dadd1796-2cb3-419b-814b-1260cea71822_1079_skye,dadd1796-2cb3-419b-814b-1260cea71822,2629392,split,1079,Sentinels,skye,Initiator,3260,Sacy
dadd1796-2cb3-419b-814b-1260cea71822_3412_raze,dadd1796-2cb3-419b-814b-1260cea71822,2629392,split,3412,LOUD,raze,Duelist,50,qck1
