game_id,series_id,sequence_number,map_name,team1_id,team1_name,team2_id,team2_name,team1_score,team2_score,winner_team_id,team1_start_side,started,finished,total_rounds
719f343f-e8d5-44de-98c5-e66f04d0f5ab,2629390,1,breeze,99,FURIA,97,NRG,10,13,97,attacker,true,true,23
cd0ede88-b842-4de2-ae9f-bb8776a99437,2629390,2,ascent,99,FURIA,97,NRG,8,13,97,defender,true,true,21
8aacfbab-be97-44f9-bc69-da5c6601062a,2629391,1,bind,81,MIBR,79,Cloud9,11,13,79,attacker,true,true,24
e267ddd1-e28f-48e3-8e83-3fb42a27cc63,2629391,2,split,81,MIBR,79,Cloud9,13,8,81,attacker,true,true,21
4a219f17-c477-448a-ad7b-4f77ab033c9c,2629391,3,lotus,81,MIBR,79,Cloud9,10,13,79,defender,true,true,23
2cd86d08-a06b-4c0f-b749-a0f2964a68ce,2629395,1,split,81,MIBR,99,FURIA,13,9,81,defender,true,true,22
c771aaf8-c65c-4468-9bf5-7f6530c768f3,2629395,2,breeze,81,MIBR,99,FURIA,13,11,81,attacker,true,true,24
da54a836-dd47-47d1-a79e-6daa504bdb56,2629398,1,sunset,79,Cloud9,97,NRG,7,13,97,attacker,true,true,20
23db92c5-dde1-4110-8ca8-2fb0887baea0,2629398,2,ascent,79,Cloud9,97,NRG,12,14,97,defender,true,true,26
df33ba86-e9fe-423e-8e44-206002633674,2629401,1,bind,81,MIBR,79,Cloud9,14,12,81,attacker,true,true,26
03babb80-c970-443f-a21f-f7a4370a23ad,2629401,2,ascent,81,MIBR,79,Cloud9,13,9,81,attacker,true,true,22
dadd1796-2cb3-419b-814b-1260cea71822,2629392,1,split,1079,Sentinels,3412,LOUD,11,13,3412,defender,true,true,24
02a4f2b8-4a3c-4538-8329-0a8c28b0dbb0,2629392,2,ascent,1079,Sentinels,3412,LOUD,9,13,3412,defender,true,true,22
6a2cd9d2-b105-44fc-a573-22daf50c2265,2629393,1,bind,337,100 Thieves,1611,Leviatán Esports,9,13,1611,defender,true,true,22
b1185c74-f70d-413f-a941-9240e9708890,2629393,2,split,337,100 Thieves,1611,Leviatán Esports,13,3,337,defender,true,true,16
c924abac-da36-42b3-b78f-f0c51fdb34f2,2629393,3,icebox,337,100 Thieves,1611,Leviatán Esports,11,13,1611,attacker,true,true,24
cfc3a968-84cf-4e7b-a0ea-32b79d993499,2629396,1,lotus,337,100 Thieves,1079,Sentinels,5,13,1079,defender,true,true,18
e28b9dbd-3643-4e70-a47f-d635be9ce699,2629396,2,bind,337,100 Thieves,1079,Sentinels,13,6,337,attacker,true,true,19
711ae558-0054-4127-96ef-65de99d99673,2629396,3,split,337,100 Thieves,1079,Sentinels,8,13,1079,defender,true,true,21
ee809db8-0a1e-463f-8d68-61f0befb7d7c,2629399,1,,1611,,3412,,,,1611,,true,true,
12b1033d-55d2-480b-a212-fb9097fee3c0,2629399,2,,1611,,3412,,,,3412,,true,true,
3ffcbe29-e13c-4de2-8569-b8c12ea054ec,2629399,3,,1611,,3412,,,,3412,,true,true,
d4fb7b22-a49c-4eb0-a2bc-a810a6bae585,2629402,1,,1079,,1611,,,,1079,,true,true,
dfc5d885-f463-49b5-b2fa-ec79a94aeb63,2629402,2,,1079,,1611,,,,1611,,true,true,
522c73ea-ded3-4bec-ad61-f47017879d46,2629402,3,,1079,,1611,,,,1079,,true,true,
55c2b36a-f81b-4a77-ac8b-4c6bdfa6d498,2629394,1,,96,,48457,,,,48457,,true,true,
2ac8ee27-498f-41c4-aa0c-3f9b0090811e,2629394,2,,96,,48457,,,,96,,true,true,
96506fbc-7552-493d-bb37-3f6d7fcf6dcb,2629394,3,,96,,48457,,,,96,,true,true,
99aab4a2-d4ce-4935-a0a8-f817cf9084d3,2629400,1,,96,,281,,,,281,,true,true,
4bb219f6-8c94-4c8e-b155-3034d661d811,2629400,2,,96,,281,,,,281,,true,true,
6f90ecd9-eaf6-403e-a286-b2ee7011398d,2629403,1,,48457,,96,,,,96,,true,true,
ce2cd253-6109-4140-bf44-8595fcc8bb9e,2629403,2,,48457,,96,,,,96,,true,true,
ffc0ba07-4f35-4b88-adfe-0838d93b8ab0,2637961,1,,81,,1079,,,,1079,,true,true,
1abd393e-d7ce-4295-9187-aac9afcfa36d,2637961,2,,81,,1079,,,,1079,,true,true,
d8ce4d0c-a413-4de3-85a4-98a163263097,2637962,1,,96,,81,,,,81,,true,true,
0d425d58-8e66-43bb-85a2-aeacf5201bd7,2637962,2,,96,,81,,,,96,,true,true,
25e62ce7-8bbf-421e-a271-d48bec974668,2637962,3,,96,,81,,,,81,,true,true,
2a7bec4a-4f98-41f5-a71f-65b436402d82,2637963,1,sunset,1079,Sentinels,96,G2 Esports,13,8,1079,attacker,true,true,21
912fccf9-db18-4fa5-9807-b1ab9ace1e8d,2637963,2,breeze,1079,Sentinels,96,G2 Esports,9,13,96,defender,true,true,22
3d5eab91-9ef7-4410-b996-8463dc2fe880,2637963,3,split,1079,Sentinels,96,G2 Esports,9,13,96,defender,true,true,22
853d7d7b-ce26-4e8a-b94a-857e06aa3b48,2629405,1,,281,,3412,,,,281,,true,true,
37a34983-cc05-4f3c-9eb0-412740871f95,2629405,2,,281,,3412,,,,3412,,true,true,
a11f871b-5065-4e1b-be48-4c1c4243bb2e,2629405,3,,281,,3412,,,,3412,,true,true,
6638a4db-ac35-4d4a-be20-4984d4a400c3,2629406,1,,97,,1079,,,,1079,,true,true,
86427b27-9b79-42c6-b998-e7ed2a60725e,2629406,2,,97,,1079,,,,97,,true,true,
