player_id,player_name,agent,agent_role,games_played,total_kills,total_deaths,kd_ratio,total_headshots
11969,Jakee,brimstone,Controller,1,20,14,1.43,14
266,mazin,viper,Controller,8,85,111,0.77,73
11969,jakee,brimstone,Controller,1,16,17,0.94,15
90,TenZ,omen,Controller,14,216,206,1.05,170
3260,Sacy,fade,Initiator,6,68,92,0.74,73
2351,JonahP,breach,Initiator,30,349,420,0.83,245
3301,v1nNy,breach,Initiator,6,70,87,0.8,60
2359,Zander,viper,Controller,9,114,133,0.86,87
11969,Jakee,clove,Controller,1,10,16,0.63,10
93,penny,raze,Duelist,1,22,8,2.75,15
297,Ethan,omen,Controller,7,85,93,0.91,76
208,Melser,omen,Controller,39,502,529,0.95,440
727,bang,astra,Controller,11,170,160,1.06,160
3314,havoc,jett,Duelist,5,58,81,0.72,48
2837,artzin,kay/o,Initiator,9,104,166,0.63,78
2347,JAWGEMO,raze,Duelist,10,153,158,0.97,118
725,moose,killjoy,Sentinel,13,179,195,0.92,171
208,Melser,viper,Controller,13,166,173,0.96,139
11968,Runi,sova,Initiator,9,90,137,0.66,73
57,mwzera,raze,Duelist,4,53,61,0.87,27
291,crashies,skye,Initiator,2,27,20,1.35,21
303,NaturE,skye,Initiator,2,34,25,1.36,32
866,yay,yoru,Duelist,1,15,18,0.83,13
48,Heat,killjoy,Sentinel,1,9,12,0.75,8
51,khalil,viper,Controller,1,8,13,0.62,6
296,Asuna,yoru,Duelist,2,37,22,1.68,27
30558,PA1NT,iso,Duelist,1,11,17,0.65,9
51,Khalil,brimstone,Controller,2,32,27,1.19,20
45,liazzi,gekko,Initiator,2,12,33,0.36,11
10636,OXY,reyna,Duelist,2,52,35,1.49,39
709,BABYBAY,vyse,Sentinel,2,23,20,1.15,17
32032,spikeziN,kay/o,Initiator,2,25,34,0.74,20
10901,Virtyy,jett,Duelist,4,63,50,1.26,38
