series_id,ingested_at,source_path,depth_level,games_count,rounds_count,status,error_message
2748766,2026-01-20 21:26:59.777987,e:\work\hackathon\data\valorant\VCT Americas - Kickoff 2025 [Knockouts_ Knockouts]\2748766,4,5,1147,success,
2654000,2026-01-20 21:27:06.103567,e:\work\hackathon\data\valorant\VCT Americas - Stage 1 2024 [Playoffs_ Playoffs]\2654000,4,2,1194,success,
2654001,2026-01-20 21:27:11.0192,e:\work\hackathon\data\valorant\VCT Americas - Stage 1 2024 [Playoffs_ Playoffs]\2654001,4,2,1230,success,
2654002,2026-01-20 21:27:16.356783,e:\work\hackathon\data\valorant\VCT Americas - Stage 1 2024 [Playoffs_ Playoffs]\2654002,4,2,1269,success,
2654003,2026-01-20 21:27:25.200828,e:\work\hackathon\data\valorant\VCT Americas - Stage 1 2024 [Playoffs_ Playoffs]\2654003,4,3,1334,success,
2654004,2026-01-20 21:27:33.569876,e:\work\hackathon\data\valorant\VCT Americas - Stage 1 2024 [Playoffs_ Playoffs]\2654004,4,3,1397,success,
2654005,2026-01-20 21:27:42.051045,e:\work\hackathon\data\valorant\VCT Americas - Stage 1 2024 [Playoffs_ Playoffs]\2654005,4,3,1461,success,
2654012,2026-01-20 21:27:57.758266,e:\work\hackathon\data\valorant\VCT Americas - Stage 1 2024 [Playoffs_ Playoffs]\2654012,4,5,1580,success,
2654052,2026-01-20 21:28:06.250107,e:\work\hackathon\data\valorant\VCT Americas - Stage 1 2024 [Playoffs_ Playoffs]\2654052,4,3,1643,success,
2653969,2026-01-20 21:28:16.059899,e:\work\hackathon\data\valorant\VCT Americas - Stage 1 2024 [Regular Season_ Alpha Group]\2653969,4,3,1717,success,
2653970,2026-01-20 21:28:21.137606,e:\work\hackathon\data\valorant\VCT Americas - Stage 1 2024 [Regular Season_ Alpha Group]\2653970,4,2,1755,success,
2653972,2026-01-20 21:28:26.153861,e:\work\hackathon\data\valorant\VCT Americas - Stage 1 2024 [Regular Season_ Alpha Group]\2653972,4,2,1792,success,
2653973,2026-01-20 21:28:31.804675,e:\work\hackathon\data\valorant\VCT Americas - Stage 1 2024 [Regular Season_ Alpha Group]\2653973,4,2,1834,success,
2653974,2026-01-20 21:28:40.215814,e:\work\hackathon\data\valorant\VCT Americas - Stage 1 2024 [Regular Season_ Alpha Group]\2653974,4,3,1898,success,
2653975,2026-01-20 21:28:45.974347,e:\work\hackathon\data\valorant\VCT Americas - Stage 1 2024 [Regular Season_ Alpha Group]\2653975,4,2,1941,success,
2653976,2026-01-20 21:28:53.895415,e:\work\hackathon\data\valorant\VCT Americas - Stage 1 2024 [Regular Season_ Alpha Group]\2653976,4,2,2001,success,
2653977,2026-01-20 21:28:59.239893,e:\work\hackathon\data\valorant\VCT Americas - Stage 1 2024 [Regular Season_ Alpha Group]\2653977,4,2,2041,success,
2653978,2026-01-20 21:29:04.133186,e:\work\hackathon\data\valorant\VCT Americas - Stage 1 2024 [Regular Season_ Alpha Group]\2653978,4,2,2077,success,
2653979,2026-01-20 21:29:12.341404,e:\work\hackathon\data\valorant\VCT Americas - Stage 1 2024 [Regular Season_ Alpha Group]\2653979,4,3,2137,success,
2653980,2026-01-20 21:29:17.286219,e:\work\hackathon\data\valorant\VCT Americas - Stage 1 2024 [Regular Season_ Alpha Group]\2653980,4,2,2173,success,
2653981,2026-01-20 21:29:25.619729,e:\work\hackathon\data\valorant\VCT Americas - Stage 1 2024 [Regular Season_ Alpha Group]\2653981,4,3,2236,success,
2653982,2026-01-20 21:29:30.874142,e:\work\hackathon\data\valorant\VCT Americas - Stage 1 2024 [Regular Season_ Alpha Group]\2653982,4,2,2276,success,
2653983,2026-01-20 21:29:35.460762,e:\work\hackathon\data\valorant\VCT Americas - Stage 1 2024 [Regular Season_ Alpha Group]\2653983,4,2,2310,success,
2653984,2026-01-20 21:29:39.758816,e:\work\hackathon\data\valorant\VCT Americas - Stage 1 2024 [Regular Season_ Alpha Group]\2653984,4,2,2342,success,
2653985,2026-01-20 21:29:45.305916,e:\work\hackathon\data\valorant\VCT Americas - Stage 1 2024 [Regular Season_ Alpha Group]\2653985,4,2,2381,success,
2653986,2026-01-20 21:29:54.835953,e:\work\hackathon\data\valorant\VCT Americas - Stage 1 2024 [Regular Season_ Alpha Group]\2653986,4,3,2451,success,
2653987,2026-01-20 21:29:59.897646,e:\work\hackathon\data\valorant\VCT Americas - Stage 1 2024 [Regular Season_ Alpha Group]\2653987,4,2,2489,success,
2653988,2026-01-20 21:30:08.224731,e:\work\hackathon\data\valorant\VCT Americas - Stage 1 2024 [Regular Season_ Alpha Group]\2653988,4,3,2551,success,
2653989,2026-01-20 21:30:08.274157,e:\work\hackathon\data\valorant\VCT Americas - Stage 1 2024 [Regular Season_ Alpha Group]\2653989,2,2,2551,success,
2653990,2026-01-20 21:30:08.321394,e:\work\hackathon\data\valorant\VCT Americas - Stage 1 2024 [Regular Season_ Alpha Group]\2653990,2,2,2551,success,
2653991,2026-01-20 21:30:08.369082,e:\work\hackathon\data\valorant\VCT Americas - Stage 1 2024 [Regular Season_ Alpha Group]\2653991,2,2,2551,success,
2653992,2026-01-20 21:30:08.421795,e:\work\hackathon\data\valorant\VCT Americas - Stage 1 2024 [Regular Season_ Alpha Group]\2653992,2,3,2551,success,
2653993,2026-01-20 21:30:08.474382,e:\work\hackathon\data\valorant\VCT Americas - Stage 1 2024 [Regular Season_ Alpha Group]\2653993,2,3,2551,success,
2653994,2026-01-20 21:30:08.526637,e:\work\hackathon\data\valorant\VCT Americas - Stage 1 2024 [Regular Season_ Alpha Group]\2653994,2,3,2551,success,
2653995,2026-01-20 21:30:08.570722,e:\work\hackathon\data\valorant\VCT Americas - Stage 1 2024 [Regular Season_ Alpha Group]\2653995,2,2,2551,success,
2653996,2026-01-20 21:30:08.616067,e:\work\hackathon\data\valorant\VCT Americas - Stage 1 2024 [Regular Season_ Alpha Group]\2653996,2,2,2551,success,
2653997,2026-01-20 21:30:08.673073,e:\work\hackathon\data\valorant\VCT Americas - Stage 1 2024 [Regular Season_ Alpha Group]\2653997,2,3,2551,success,
2653998,2026-01-20 21:30:08.722091,e:\work\hackathon\data\valorant\VCT Americas - Stage 1 2024 [Regular Season_ Alpha Group]\2653998,2,2,2551,success,
2653999,2026-01-20 21:30:14.11216,e:\work\hackathon\data\valorant\VCT Americas - Stage 1 2024 [Regular Season_ Alpha Group]\2653999,4,2,2592,success,
2775983,2026-01-20 21:30:19.510789,e:\work\hackathon\data\valorant\VCT Americas - Stage 1 2025 [Playoffs_ Playoffs]\2775983,4,2,2632,success,
2775984,2026-01-20 21:30:25.401344,e:\work\hackathon\data\valorant\VCT Americas - Stage 1 2025 [Playoffs_ Playoffs]\2775984,4,2,2676,success,
2775985,2026-01-20 21:30:31.008049,e:\work\hackathon\data\valorant\VCT Americas - Stage 1 2025 [Playoffs_ Playoffs]\2775985,4,2,2718,success,
2775986,2026-01-20 21:30:37.665484,e:\work\hackathon\data\valorant\VCT Americas - Stage 1 2025 [Playoffs_ Playoffs]\2775986,4,2,2768,success,
2775987,2026-01-20 21:30:42.884449,e:\work\hackathon\data\valorant\VCT Americas - Stage 1 2025 [Playoffs_ Playoffs]\2775987,4,2,2807,success,
2775988,2026-01-20 21:30:51.775684,e:\work\hackathon\data\valorant\VCT Americas - Stage 1 2025 [Playoffs_ Playoffs]\2775988,4,3,2873,success,
2775989,2026-01-20 21:30:58.53883,e:\work\hackathon\data\valorant\VCT Americas - Stage 1 2025 [Playoffs_ Playoffs]\2775989,4,2,2923,success,
2775990,2026-01-20 21:31:08.315197,e:\work\hackathon\data\valorant\VCT Americas - Stage 1 2025 [Playoffs_ Playoffs]\2775990,4,3,2996,success,
2775991,2026-01-20 21:31:14.147799,e:\work\hackathon\data\valorant\VCT Americas - Stage 1 2025 [Playoffs_ Playoffs]\2775991,4,2,3040,success,
2775992,2026-01-20 21:31:23.154677,e:\work\hackathon\data\valorant\VCT Americas - Stage 1 2025 [Playoffs_ Playoffs]\2775992,4,3,3106,success,
2775993,2026-01-20 21:31:35.726984,e:\work\hackathon\data\valorant\VCT Americas - Stage 1 2025 [Playoffs_ Playoffs]\2775993,4,4,3201,success,
2775994,2026-01-20 21:31:47.701532,e:\work\hackathon\data\valorant\VCT Americas - Stage 1 2025 [Playoffs_ Playoffs]\2775994,4,4,3291,success,
2775954,2026-01-20 21:31:54.989167,e:\work\hackathon\data\valorant\VCT Americas - Stage 1 2025 [Regular Season_ Group A]\2775954,4,3,3345,success,
2775957,2026-01-20 21:31:55.040227,e:\work\hackathon\data\valorant\VCT Americas - Stage 1 2025 [Regular Season_ Group A]\2775957,2,2,3345,success,
2775958,2026-01-20 21:31:55.092823,e:\work\hackathon\data\valorant\VCT Americas - Stage 1 2025 [Regular Season_ Group A]\2775958,2,3,3345,success,
2775960,2026-01-20 21:31:55.137377,e:\work\hackathon\data\valorant\VCT Americas - Stage 1 2025 [Regular Season_ Group A]\2775960,2,2,3345,success,
2775961,2026-01-20 21:31:55.185403,e:\work\hackathon\data\valorant\VCT Americas - Stage 1 2025 [Regular Season_ Group A]\2775961,2,2,3345,success,
2775963,2026-01-20 21:31:55.23264,e:\work\hackathon\data\valorant\VCT Americas - Stage 1 2025 [Regular Season_ Group A]\2775963,2,2,3345,success,
2775966,2026-01-20 21:31:55.284868,e:\work\hackathon\data\valorant\VCT Americas - Stage 1 2025 [Regular Season_ Group A]\2775966,2,3,3345,success,
2775967,2026-01-20 21:31:55.335544,e:\work\hackathon\data\valorant\VCT Americas - Stage 1 2025 [Regular Season_ Group A]\2775967,2,3,3345,success,
2775971,2026-01-20 21:31:55.384129,e:\work\hackathon\data\valorant\VCT Americas - Stage 1 2025 [Regular Season_ Group A]\2775971,2,2,3345,success,
2775974,2026-01-20 21:31:55.440108,e:\work\hackathon\data\valorant\VCT Americas - Stage 1 2025 [Regular Season_ Group A]\2775974,2,3,3345,success,
2775975,2026-01-20 21:31:55.487629,e:\work\hackathon\data\valorant\VCT Americas - Stage 1 2025 [Regular Season_ Group A]\2775975,2,2,3345,success,
2775979,2026-01-20 21:32:00.274488,e:\work\hackathon\data\valorant\VCT Americas - Stage 1 2025 [Regular Season_ Group A]\2775979,4,2,3380,success,
2775980,2026-01-20 21:32:06.329424,e:\work\hackathon\data\valorant\VCT Americas - Stage 1 2025 [Regular Season_ Group A]\2775980,4,2,3425,success,
2775981,2026-01-20 21:32:16.223894,e:\work\hackathon\data\valorant\VCT Americas - Stage 1 2025 [Regular Season_ Group A]\2775981,4,3,3499,success,
2789396,2026-01-20 21:32:21.115983,e:\work\hackathon\data\valorant\VCT Americas - Stage 1 2025 [Regular Season_ Group A]\2789396,4,2,3535,success,
2775953,2026-01-20 21:32:29.000322,e:\work\hackathon\data\valorant\VCT Americas - Stage 1 2025 [Regular Season_ Group B]\2775953,4,3,3594,success,
2775955,2026-01-20 21:32:34.795613,e:\work\hackathon\data\valorant\VCT Americas - Stage 1 2025 [Regular Season_ Group B]\2775955,4,2,3637,success,
2775956,2026-01-20 21:32:40.284944,e:\work\hackathon\data\valorant\VCT Americas - Stage 1 2025 [Regular Season_ Group B]\2775956,4,2,3678,success,
2775959,2026-01-20 21:32:47.638061,e:\work\hackathon\data\valorant\VCT Americas - Stage 1 2025 [Regular Season_ Group B]\2775959,4,3,3733,success,
2775962,2026-01-20 21:32:57.157163,e:\work\hackathon\data\valorant\VCT Americas - Stage 1 2025 [Regular Season_ Group B]\2775962,4,3,3804,success,
2775964,2026-01-20 21:33:02.22462,e:\work\hackathon\data\valorant\VCT Americas - Stage 1 2025 [Regular Season_ Group B]\2775964,4,2,3841,success,
2775968,2026-01-20 21:33:06.72018,e:\work\hackathon\data\valorant\VCT Americas - Stage 1 2025 [Regular Season_ Group B]\2775968,4,2,3874,success,
